Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Adj Factor,Price_Increase
1980-01-25,16.879779816,16.909656525,16.700525284,,1.083677502,1405406.0,0.0,0,0.064657494,Down
1980-01-28,16.760276794,17.20841217,16.760276794,16.969406128,1.097199281,1522976.0,0.0,0,0.064657494,Up
1980-01-29,16.969406128,17.059034348,16.581022263,16.820028305,1.087540885,1496617.0,0.0,4,0.064657494,Down
1980-01-30,16.820028305,16.879779816,16.640773773,16.820028305,1.087540885,1452266.0,0.0,1,0.064657494,Down
1980-01-31,16.820028305,16.999282837,16.312141418,16.401769638,1.060497328,2451824.0,0.0,0,0.064657494,Down
1980-02-01,16.401769638,16.610898972,16.34201622,16.581022263,1.072087353,1513353.0,0.0,1,0.064657494,Up
1980-02-04,16.581022263,16.640773773,16.401769638,16.521272659,1.068224094,1205829.0,0.0,8,0.064657494,Down
1980-02-05,16.521272659,16.640773773,16.43164444,16.640773773,1.075950736,1595778.0,0.0,1,0.064657494,Up
1980-02-06,16.49139595,16.49139595,16.192638397,16.34201622,1.056633822,2133003.0,0.21,5,0.064657494,Down
1980-02-07,16.312141418,16.312141418,16.043260574,16.043260574,1.050530286,2145555.0,0.0,0,0.065481096,Down
1980-02-08,16.043260574,16.162763596,15.834130287,,1.052486521,2631318.0,0.0,0,,Down
1980-02-11,16.073135376,16.132886887,15.893880844,15.953633308,1.044661395,1663140.0,0.0,1,0.065481096,Down
1980-02-12,15.953633308,16.461519241,15.864006042,16.461519241,1.077918322,1619626.0,0.0,1,0.065481096,Up
1980-02-13,16.551147461,16.849903107,16.551147461,16.581022263,1.085743511,,0.0,0,0.065481096,Up
1980-02-14,16.581022263,16.790153503,16.282266617,16.282266617,1.066180664,2008320.0,,5,0.065481096,Down
1980-02-15,16.252389908,16.252389908,16.043260574,16.162763596,1.058355475,2438435.0,0.0,1,0.065481096,Down
1980-02-19,16.162763596,16.192638397,15.864006042,16.013383865,1.048573927,1878616.0,0.0,3,0.065481096,Down
1980-02-20,16.043260574,16.192638397,,16.073135376,1.052486521,1112944.0,0.0,2,0.065481096,Up
1980-02-21,16.043260574,16.043260574,15.744503021,15.834130287,,1502056.0,0.0,6,0.065481096,Down
1980-02-22,15.834130287,15.834130287,15.654875755,15.774378777,1.032923611,1910833.0,0.0,2,,Down
1980-02-25,15.744503021,15.744503021,15.505496979,15.565249443,1.019229593,2273167.0,0.0,2,0.065481096,Down
1980-02-26,15.565249443,15.625,15.445746422,15.535372734,1.017273234,2209152.0,0.0,4,0.065481096,Down
1980-02-27,15.535372734,15.565249443,14.81835556,,0.970322163,2881521.0,0.0,0,0.065481096,Down
1980-02-28,14.848231316,15.296366692,14.848231316,15.146988869,0.991841433,2885705.0,0.0,5,0.065481096,Up
1980-02-29,15.146988869,15.236616135,15.057360649,15.17686367,0.993797667,2729223.0,0.0,4,0.065481096,Up
1980-03-03,15.17686367,15.17686367,14.967734337,14.997610092,,1424652.0,0.0,10,0.065481096,Down
1980-03-04,14.997610092,15.146988869,14.878107071,15.117113113,0.989885135,1873177.0,0.0,10,0.065481096,Up
,15.087237358,15.087237358,14.75860405,14.81835556,0.970322163,,0.0,1,0.065481096,Down
1980-03-06,14.81835556,14.878107071,14.489723206,14.609226227,0.956628145,2876082.0,0.0,5,0.065481096,Down
1980-03-07,14.609226227,14.788479805,14.549473763,14.579350471,0.954671848,2616255.0,0.0,1,0.065481096,Down
1980-03-10,14.609226227,14.878107071,14.609226227,14.728728294,0.964453272,2055599.0,0.0,0,0.065481096,Up
1980-03-11,14.728728294,14.878107071,14.698852539,,0.974234758,2101623.0,,6,0.065481096,Down
1980-03-12,14.848231316,14.848231316,14.549473763,14.668976784,0.960540677,2073590.0,0.0,9,0.065481096,Down
